
5256784284516605|04|2025|243
5256787820020081|02|2025|160
5256782518252005|10|2023|677
5256781041781803|01|2025|251
5256781852721575|09|2024|632
5256783286563474|06|2024|557
5256781610778727|06|2024|402
5256780881265711|02|2023|088
5256784076868826|12|2025|000
5256784212067473|03|2025|253
5256788726206584|06|2025|135
5256786442242776|11|2026|327
5256785756537441|09|2025|307
5256786085316408|11|2026|553
5256786528247434|11|2024|727
5256785503565034|04|2026|750
5256783260512448|11|2024|351
5256787503510721|08|2026|468
5256786143711558|06|2025|872
5256783556320464|02|2026|727
5256787654280348|02|2026|166
5256782128258541|02|2023|236
5256780757301350|11|2024|500
5256781156783651|11|2024|081
5256781316551717|01|2025|133
5256787520433386|07|2024|441
5256786478076833|07|2026|840
5256780153210312|10|2025|002
5256782257552367|02|2026|110
5256781273708730|12|2026|827
5256788342343811|07|2025|805
5256783628110018|03|2023|313
5256781410728427|05|2023|428
5256784276378162|05|2024|468
5256780608018831|03|2026|276
5256782500136372|02|2026|640
5256780824656513|10|2023|388
5256784737262641|03|2026|572
5256784727317272|05|2026|788
5256786443412683|07|2026|504
5256782202224005|06|2026|313
5256784730631354|04|2023|541
5256786871303057|04|2023|036
5256780725275264|03|2025|325
5256786785035118|10|2026|337
5256788178705240|08|2024|842
5256786130027166|09|2026|058
5256781411361087|04|2025|310
5256785480406350|04|2023|888
5256786335816884|09|2025|105
5256788048604748|07|2023|560
5256785831015868|09|2025|556
5256787042104473|08|2023|171
5256783886474874|02|2025|355
5256781516282436|04|2023|410
5256786280810684|08|2024|433
5256785705284210|01|2025|832
5256782028042383|06|2023|857
5256787764280436|06|2024|153
5256786086613258|09|2024|157
5256782168536244|10|2023|844
5256781544658532|07|2023|134
5256782173853683|07|2025|082
5256785662175732|12|2024|646
5256786046482786|11|2023|066
5256781805416828|06|2023|225
5256781083438080|08|2024|582
5256782722212753|11|2026|518
5256786648784688|02|2026|413
5256785128581143|05|2025|213
5256787276012483|03|2026|551
5256782606517731|05|2026|505
5256782744851620|10|2023|886
5256783873871108|09|2026|073
5256781038152828|09|2025|100
5256782210460054|08|2024|061
5256788077765543|09|2023|178
5256786247745338|03|2023|755
5256782348653166|02|2024|781
5256781687661061|01|2025|457
5256788324852136|12|2023|817
5256786584854453|06|2024|721
5256785373323522|12|2024|417
5256784284687455|10|2024|551
5256786232875751|06|2024|476
5256786247623071|02|2025|324
5256788576543623|12|2025|187
5256788086712387|04|2023|515
5256784264032870|11|2023|015
5256786247154655|08|2025|187
5256784405033670|05|2026|662
5256784826228230|02|2024|645
5256787144082783|10|2025|022
5256785555641261|06|2023|358
5256784123540311|05|2026|303
5256784344120372|08|2024|371
5256784673437561|02|2025|267
5256785465222681|03|2024|430
5256786150665523|11|2026|001
5256784260438634|01|2026|633
5256788854838406|03|2025|755
5256787254535620|11|2024|468
5256785737643268|02|2026|620
5256783307882754|02|2024|037
5256783702708547|07|2024|117
5256781087783804|10|2025|521
5256782783827820|09|2023|225
5256780328245680|08|2025|384
5256784142268886|05|2026|003
5256787152273407|05|2023|584
5256781133558366|12|2024|241
5256783206878523|06|2023|736
5256785313586881|11|2023|064
5256787866014634|03|2026|152
5256785031637743|06|2024|038
5256781881321470|08|2024|608
5256784543210230|03|2025|354
5256787572727727|11|2024|807
5256786426523621|04|2026|574
5256786401012061|01|2026|701
5256782466635177|12|2025|112
5256785380738506|09|2024|701
